,Additional Paid in Capital,Book Value Per Share,Book to Market Value,Cash & Cash Equivalents,"Cash From (Repayment of) Short Term Debt, net",Cash From Long Term Debt,Cash from Financing Activities,Cash from Investing Activities,Cash from Operating Activities,"Cash, Cash Equivalents & Short Term Investments",Cost of revenue,Decrease in Long Term Investment,EBITDA,EPS,EV,EV/EBITDA,EV/FCF,EV/Sales,Earnings Growth Rate,Equity Before Minority Interest,FCF,FCF Per Share,Gross Profit,Income (Loss) Including Minority Interest,Income (Loss) from Continuing Operations,Increase in Long Term Investment,Long Term Borrowings,Long Term Debt,Market Cap,Net Change in Long Term Investment,Net Income,Net Income Available to Common Shareholders,Net Income/Starting Line,Operating Expenses,Operating Income (Loss),Other Long Term Assets,P/BV Ratio,P/E Ratio,P/FCF Ratio,P/S Ratio,PEG Ratio,Pretax Income (Loss),"Pretax Income (Loss), Adjusted",Research & Development,Retained Earnings,Revenue,RoE,Sales Per Share,Share Capital & Additional Paid-In Capital,Share Price,Short Term Investments,Total Assets,Total Current Assets,Total Current Liabilities,Total Equity,Total Liabilities,Total Liabilities & Equity,Total Noncurrent Assets,Total Noncurrent Liabilities,Treasury Stock
Research & Development,-0.996100561298318,-0.005002046761851446,-0.005003510322150676,-0.8098570977117036,-0.5424832251119943,-0.03071576451113008,0.4834994566868619,0.6102044120533175,-0.8847672222558763,-0.9793346670274079,0.9506742395927397,-0.962591474631748,-0.8667681400512622,-0.0049554545915204825,-0.7061184254721844,0.007354285416448608,4.649319299934593e-05,-6.78548462349558e-05,-0.005010455233970776,-0.9913390051839592,-0.8090742325610272,-0.00499634450674665,-0.9589457835160068,-0.7955078777094596,-0.7953437392126168,0.9344599832132505,-0.7521547570139475,-0.7433607719198304,-0.6610315519159861,0.43958502054347,-0.7954733878000174,-0.7954510670924237,-0.7956528008709834,0.9953890701509296,-0.8124265240272769,-0.9054418123183525,-0.005296165137531221,-0.0029367612261429928,-0.0008010437243706172,-0.000359138087144088,-0.0032486093638632433,-0.8111186480749337,-0.8159891584221753,1.0,-0.9612914706902206,-0.9710542268786861,-0.000896468508448898,-0.005016330877599833,-0.9950401816713369,-0.024581024816151292,-0.9725419982710198,-0.9818581144035808,-0.9800903737468216,-0.796980574674267,-0.9912093979046167,-0.9093847589483826,-0.9818581147945974,-0.8884583016890997,-0.8500453734364661,0.942827927894481
Retained Earnings,0.9702599126948828,0.002971959817161764,0.0029711438581522167,0.8784303683757149,0.5756673550611845,-0.017743989068402265,-0.6176952945416946,-0.5367057175014901,0.9656496238136514,0.9815108959947495,-0.9304146620443193,0.902506970896118,0.9634611975764754,0.0029674770981363793,0.8353909673047292,-0.010769741250230766,-0.0023309878393336027,-0.003499237361169223,0.0028965587645161934,0.9722842104801039,0.9167895038725278,0.00296922207368706,0.9964354735041862,0.9219058086222522,0.9220424403621582,-0.8557480315534767,0.8266269612236602,0.814564732883822,0.7990880859374235,-0.34810868414277085,0.922173966158555,0.9213324319426451,0.9223417545867223,-0.9665680162981477,0.9349131923531022,0.836517036910081,0.001423837463326054,-0.0009376075064351232,-0.0017697459481973655,-0.003103029693671708,0.0004476081161365237,0.9330287267308485,0.9369849076612834,-0.9612914706902206,1.0,0.982324099542312,0.000652382489716956,0.0029840512507002767,0.9706539195516466,0.014749361831248866,0.9515509127819746,0.9716603661757444,0.9848585643507368,0.7609971422609324,0.9720742002109791,0.9152046213603238,0.9716603665083214,0.8302727275896709,0.8948514115712732,-0.9891401916336595
Revenue,0.9760434731027366,0.0019018205676871267,0.001901992673853348,0.8665368810439973,0.5543420699354689,-0.006597005222755742,-0.5662902786667032,-0.5728174631499311,0.9426844406781123,0.9759753734861579,-0.9805514221226651,0.9054852197942694,0.9345151993818104,0.001878785811303841,0.7962600188452756,-0.011607690642155225,-0.006065853872953356,-0.00409709091193313,0.0018532801788176043,0.9804250337863564,0.8833530978187679,0.001897804027914859,0.986182117564571,0.8830010719343027,0.8827416604798795,-0.868441139185032,0.7819798835994165,0.7884549003024355,0.7578898787231994,-0.3807356927473239,0.8830193675523303,0.8826648137498471,0.882174306389396,-0.9795513880410142,0.8947668302328399,0.8712495615391835,0.0032795747362138494,-7.974505228663814e-05,-0.0043260594168190196,-0.0035881375535533615,0.0007707043806917916,0.8940723985990099,0.8972020618484234,-0.9710542268786861,0.982324099542312,1.0,0.0019204230702664989,0.0019236982866505069,0.9780370837803908,0.02047347070349497,0.9485888185199817,0.9854045034297775,0.9834037504875883,0.8214765235924049,0.9804396388179676,0.9374478805338661,0.9854045034771892,0.8924096123429737,0.8763716375979301,-0.9631313908300628
RoE,0.0006142140915566887,-0.00040364000338401516,-0.00040363210093140626,0.0006264311630712942,2.516816472782416e-05,-0.0004927236063380401,8.968188946482703e-05,-0.0010371845066523776,0.0004923884216884334,0.0005638872666205661,-0.0035880471171554655,0.0008050218269621401,0.0006313088917297548,-0.0003917066303817626,-0.0002085604177443846,-0.0008717614711323384,-0.001496296929774507,-0.0006106868516945963,-0.00041011112638776647,0.0005159760334011164,0.0002918743816873142,-0.00040293885127903466,0.0004631592722582838,0.0005597753846434122,0.00042046419440644424,-0.000892010660749286,0.00026714876195454946,0.0005285991592671839,-0.0002914826123656192,-0.000556868822831208,0.0005266774907070992,0.0004787898135764232,0.0005612086500953377,-0.00038737488144206296,0.0005344569580559728,0.0033750937482467875,0.06297989916072118,-0.00046669131551796737,-0.0014115278270639578,-0.0005766479356568775,-0.00026941010448446143,0.0006637541106788795,0.0005863392021637696,-0.000896468508448898,0.000652382489716956,0.0019204230702664989,1.0,-0.0004005098482353234,0.00046202571819273073,0.0027584374097209797,0.0005042610443121013,0.0012360991759823847,0.0011289096131698259,0.0015416659903623206,0.0005012160033421511,0.002434135689682262,0.0012360991757407154,0.0014623040233319995,0.002842163335403715,-0.0002768283482074573
Sales Per Share,0.005526868746575678,0.9999999912650623,0.9999999839842509,0.0029511015597751874,0.0014893702268909527,-0.0001415012527631455,-0.0014234490506164436,-0.0014804400699557382,0.0025602690179683434,0.002948238173908531,-0.0006005799433572971,0.0028856460913443526,0.0018080801417907158,0.9999989712969692,0.0010724770383871945,-0.002085913618683545,-0.000885205866411133,-0.0011269998856827184,0.9996174344574107,0.004395359268164638,0.0024896410228032505,0.9999999857529144,0.002994301702296898,0.0009759009736795248,0.001019761759892429,-0.0028780090656883237,0.0014833010980046203,0.0006887294149675395,0.0008910306552683577,-0.002207005368058281,0.0009599480010191128,0.0010189035773211976,0.0010177561794912653,-0.004294750539033918,0.0009144076482401537,0.008987662159703253,-0.0021731342020769747,-0.0011158420768747758,-0.0009929040715379257,-0.0011073821160947593,-0.0005885218196009609,0.0007907751610301587,0.0009330811963538071,-0.005016330877599833,0.0029840512507002767,0.0019236982866505069,-0.0004005098482353234,1.0,0.004774563648289171,-0.008944658174131198,0.0027490431567273577,0.0033461147398100525,0.002842560968353801,0.00020323731185411002,0.004466034164237782,0.0012203552847742472,0.0033461146399111873,0.004657374681992478,0.001970775869645107,-0.0030222043514433095
Share Capital & Additional Paid-In Capital,0.9985453350090816,0.004762122060713127,0.004762830163472066,0.8272891354404759,0.5532311345924482,0.055357252014291765,-0.4929086767719744,-0.5954251130640772,0.8975472993720556,0.9886592653610525,-0.9519094942124714,0.9628948276595032,0.8881548722261344,0.004732790552454677,0.7301871589440495,-0.006245764842589212,-0.0007068181146397716,0.0013817925573476868,0.004808148932485633,0.9926401402847502,0.8236117410901247,0.004757799450761002,0.9705648452489475,0.8190803295716689,0.8189323192799232,-0.9293371253725355,0.7694770462313195,0.7648529733711724,0.685451708127101,-0.422983566991646,0.8191498205597744,0.8187750891865371,0.819106237518412,-0.9954540672756483,0.8383359424603232,0.9043246632634434,0.004727571818854821,0.0038824821297833907,0.0003067870841319047,0.0016044304031738994,0.004694405305097653,0.8357295873184628,0.8410630891558647,-0.9950401816713369,0.9706539195516466,0.9780370837803908,0.00046202571819273073,0.004774563648289171,1.0,0.024708036752775043,0.9784307983806001,0.9898679083932179,0.9893274236221188,0.8144553220082864,0.992629859040513,0.9283130806557147,0.9898679088723965,0.8916392883272842,0.8668895776436504,-0.9573829574546184
Share Price,0.023768199683880872,-0.008984673799176418,-0.009028324440796591,0.007828514086086749,-0.0006508444024296001,0.013977879409473225,0.03148903813452762,-0.05038324919498408,0.007380205726125417,0.022751180515707445,-0.015429977360026777,0.03192877333864643,0.0037862191093299326,-0.008388343803779641,-0.0029047557823752247,0.01735224423103749,-0.020525675428608704,0.005973864907836217,-0.008892347549332864,0.026278602672786453,0.003903353727171401,-0.008949567422655376,0.024248556457088316,-0.007261442476262568,-0.004377023508261482,-0.03685525326649675,-0.004121258448364854,-0.0008026604028487182,-0.004915912983804901,-0.05033863267550618,-0.004715835238291411,-0.00499784380053379,-0.004003709717795223,-0.042181998325964205,-0.002446491885541232,0.01016548378520188,0.021588001158875995,0.007937813649739613,-0.022104857378233034,0.005834549603104494,-0.002239087375852323,-0.0025857831590114485,-0.0016948318515769304,-0.024581024816151292,0.014749361831248866,0.02047347070349497,0.0027584374097209797,-0.008944658174131198,0.024708036752775043,1.0,0.02639899893425468,0.016931747849615278,0.01925009518738485,0.0005262210052410426,0.02567309233889275,0.0008664470360720952,0.016931746985583945,0.007627964697858786,0.0010332898697791098,-0.01170225364596404
Short Term Investments,0.9785365386602916,0.002737377734535891,0.002736060085845714,0.7464597019611375,0.5451074327474947,0.08853773626441307,-0.4544104195841495,-0.6709664979246102,0.87881849503942,0.9836130457030297,-0.9133400502804502,0.9644725691409703,0.871266468942377,0.0027474307592817034,0.6985923075971665,-0.007042758279666306,-0.0009407550780926466,-0.0002307621183389743,0.0027439439208629636,0.9668859769573696,0.8099871462723397,0.002736805560943136,0.9496705776841342,0.8019636807868438,0.8018855715113706,-0.9643904741766194,0.7835432034931783,0.774543604914394,0.6510009962288398,-0.5269983700893484,0.8020674741415353,0.8017510348362319,0.8019354134222629,-0.9703362329129561,0.8252320183132453,0.8751326504840959,0.0038963281336013476,0.002169095917237941,0.00020787523710611913,6.824482837290641e-05,0.0028802313128446127,0.820614371889085,0.8278424469957317,-0.9725419982710198,0.9515509127819746,0.9485888185199817,0.0005042610443121013,0.0027490431567273577,0.9784307983806001,0.02639899893425468,1.0,0.9726460949045974,0.9775106051967394,0.8083577576832731,0.9667603259045472,0.9270115402479941,0.9726460952314866,0.8584542524320473,0.870422584372929,-0.9444627134891518
Total Assets,0.9861650707570279,0.003332172028735288,0.0033327726303097804,0.8473882562223235,0.5611399944339382,0.05312453894612615,-0.4923867081448286,-0.6005434676404316,0.9096304269571125,0.9895847241968612,-0.9641654600300621,0.9449862303347368,0.9034363574458265,0.003308286953469547,0.7463009513793968,-0.00769923344572892,-0.0049526950679977914,-0.00010526179868314991,0.0033637456526042814,0.9877010308011979,0.839620578847238,0.003328508760734037,0.9736096393533747,0.8378779450178898,0.8375276488476557,-0.9132971628287679,0.7857777241760348,0.801993233774914,0.7019615432116457,-0.41878443676768706,0.8378707207831982,0.8373124373984479,0.8370244377178401,-0.9875538914381213,0.8557238495156879,0.9103465624837496,0.003916904617103413,0.0027579375885544394,-0.003004391007174678,8.124345491426328e-05,0.0037073463030527004,0.8535976397785555,0.8580034437688788,-0.9818581144035808,0.9716603661757444,0.9854045034297775,0.0012360991759823847,0.0033461147398100525,0.9898679083932179,0.016931747849615278,0.9726460949045974,1.0,0.9929842533032837,0.8503919160715852,0.9879110488985466,0.9635074802286474,0.9999999999999835,0.9219562746919358,0.89490802538484,-0.9527992628991264
Total Current Assets,0.9881776449705403,0.0028289914594756046,0.0028289176516618298,0.8647385065647121,0.5894478301426082,0.0675538636468498,-0.5164440457171221,-0.5722389063631264,0.9234230213836011,0.9980874895045923,-0.9477989265984902,0.9457501574114492,0.9246147155093671,0.0028190587584242793,0.7778617808960748,-0.008473489612793554,-0.002336594097639869,-0.0014547519817180218,0.0028099685209620247,0.9847749843117293,0.8583544112932857,0.0028270790982740652,0.9837343272838954,0.8653341136918371,0.8653381546791288,-0.906720150937864,0.8204886255553346,0.819263353380667,0.734853753552897,-0.3964986103253892,0.8655698784619075,0.8648722040374173,0.8653132449715476,-0.9832043367733132,0.88424230606267,0.8740969036324362,0.004303773568615715,0.00140081303448608,-0.0013206977900818637,-0.0012128323974726464,0.002217238330124167,0.8812061959264907,0.8861651705231944,-0.9800903737468216,0.9848585643507368,0.9834037504875883,0.0011289096131698259,0.002842560968353801,0.9893274236221188,0.01925009518738485,0.9775106051967394,0.9929842533032837,1.0,0.8163872150178492,0.9846655073920078,0.9503840639120291,0.9929842532529833,0.869691843188414,0.9042033214189045,-0.9732587515943358
Total Current Liabilities,0.8027548594892919,0.00018483166480276372,0.00018879927264765675,0.6579767023693224,0.3594249076959714,0.11455659451961193,-0.3355597129898813,-0.5071349707679058,0.6912256516113083,0.8098993717958957,-0.8589485516526547,0.7976147977193129,0.6734779665607514,0.00012649749397791277,0.5270451564560517,-0.011510087903604936,-0.011593311270063947,-0.0049544607459083,0.00011377282963819764,0.7922797336040234,0.6160215773261061,0.00018041323077935432,0.7652413776921946,0.5957116767902282,0.5942787576145657,-0.7741867425979688,0.5046244129448929,0.5593053888423006,0.4837131426016563,-0.36335348815919666,0.5961312041334244,0.5949033113036042,0.5898666005889308,-0.8150427959965466,0.6205049849346684,0.7779977269043679,0.002063740442065502,-0.0024206037897963315,-0.007707229215610119,-0.004666903344034776,-0.001240107761194778,0.6129098323234212,0.6215936260263645,-0.796980574674267,0.7609971422609324,0.8214765235924049,0.0015416659903623206,0.00020323731185411002,0.8144553220082864,0.0005262210052410426,0.8083577576832731,0.8503919160715852,0.8163872150178492,1.0,0.7923161785166434,0.9018888953616192,0.8503919155545082,0.8758590453060653,0.6422141949626221,-0.7552344595224054
Total Equity,0.9917800375514175,0.004453416122587211,0.004453025470364819,0.8380512875236966,0.5362427489965377,0.024015585432739565,-0.49362129846827446,-0.6141263607014364,0.9104186478469459,0.9824559142198995,-0.9538044923990603,0.9421726141562218,0.8984321800291757,0.004434013532990909,0.7374967031971301,-0.00792253139511224,-0.0015151164317440847,-0.00035126164125228886,0.004455723067870757,0.9999316237998971,0.8418168962221914,0.00444895255714677,0.9733258284087156,0.8351904217531941,0.8352145136305718,-0.9145746926882062,0.7525885087739222,0.7498421603400127,0.6947458191895811,-0.43003919408745533,0.8352991708252351,0.8347788819570306,0.8355054902850308,-0.9918000862471328,0.849406966843626,0.9133574255478654,0.002094347317683581,0.0022867174637412465,-0.0005836476641768745,-6.598420686097359e-05,0.0031529702457414547,0.8499010227058642,0.8529390557092885,-0.9912093979046167,0.9720742002109791,0.9804396388179676,0.0005012160033421511,0.004466034164237782,0.992629859040513,0.02567309233889275,0.9667603259045472,0.9879110488985466,0.9846655073920078,0.7923161785166434,1.0,0.9103632310527271,0.9879110490664434,0.8987400037593898,0.8562510134732512,-0.9425513316531569
Total Liabilities,0.9198962630532544,0.0012049250725096462,0.0012072028511652135,0.8148986607757095,0.5719400393374547,0.10034036590022255,-0.462008190174486,-0.5426380948974577,0.8560866814393117,0.9451248533069881,-0.926744889528874,0.8956336464055302,0.8602498775821008,0.0011746701519770994,0.7186905572451684,-0.00687197681203387,-0.01060435841062861,0.0003255526157853645,0.0012852231705826275,0.9099206831482184,0.787661675377959,0.001202853856167393,0.918246717584171,0.7944521041293929,0.7934754347401012,-0.8586981624273858,0.7980090198066971,0.84603637832762,0.6741518058396676,-0.37532609177042076,0.7942450392909658,0.7936531765071926,0.791629740304031,-0.9235689163489454,0.8175411820585401,0.8529238254396606,0.0068392747222159635,0.003413394893082127,-0.00701201849462176,0.0003308053942263913,0.0044519269204434,0.8110124446494293,0.8175272778821642,-0.9093847589483826,0.9152046213603238,0.9374478805338661,0.002434135689682262,0.0012203552847742472,0.9283130806557147,0.0008664470360720952,0.9270115402479941,0.9635074802286474,0.9503840639120291,0.9018888953616192,0.9103632310527271,1.0,0.96350747993878,0.9091548045240235,0.9103202811095574,-0.9158355544377259
Total Liabilities & Equity,0.9861650710342619,0.0033321719288556873,0.003332772530492432,0.8473882561301339,0.5611399945731415,0.053124538990657645,-0.49238670849083604,-0.600543467650914,0.9096304269538705,0.9895847244274295,-0.9641654599269872,0.944986230659233,0.9034363575087067,0.0033082868542059288,0.74630095142947,-0.007699233760289653,-0.0049526952540233735,-0.00010526195205258866,0.0033637455484049057,0.9877010309589608,0.8396205790505188,0.0033285086610400617,0.9736096395288463,0.8378779450827283,0.8375276488817954,-0.913297163153033,0.7857777242558601,0.8019932334361604,0.7019615432548532,-0.41878443699887985,0.8378707208516085,0.8373124374754807,0.8370244377615083,-0.9875538916902602,0.8557238495646033,0.9103465634744288,0.0039169043594593994,0.002757937554927607,-0.003004391176134932,8.124331447445283e-05,0.0037073461934543023,0.8535976397426553,0.8580034437573384,-0.9818581147945974,0.9716603665083214,0.9854045034771892,0.0012360991757407154,0.0033461146399111873,0.9898679088723965,0.016931746985583945,0.9726460952314866,0.9999999999999835,0.9929842532529833,0.8503919155545082,0.9879110490664434,0.96350747993878,1.0,0.9219562748566257,0.8949080253659227,-0.9527992635672604
Total Noncurrent Assets,0.8799484713128733,0.004643618146288683,0.004646366970653444,0.7049556487778011,0.4117354416463798,0.0004973164268206308,-0.3638494617030908,-0.6325811959097323,0.7725623747545586,0.8617653020281834,-0.9203685141211261,0.8470193191900101,0.7428034102785009,0.004576447706488459,0.5675364369119067,-0.004385512315857688,-0.013020892582694078,0.004325365122432474,0.004837721343326409,0.8975047582983738,0.6934410265521316,0.004634590195247434,0.8420917665748796,0.6633061188049235,0.6618306478373075,-0.8425753791444532,0.5927077208717758,0.6644089950084506,0.523315624589093,-0.44947070859474725,0.6625037610665754,0.6624584251230747,0.6598116888689068,-0.9020349079948478,0.6758698687515005,0.9371098504008621,0.002254095201424948,0.006924322016918364,-0.008215490368206872,0.0043115302775118694,0.008213380517288248,0.676938656031021,0.6790875720109844,-0.8884583016890997,0.8302727275896709,0.8924096123429737,0.0014623040233319995,0.004657374681992478,0.8916392883272842,0.007627964697858786,0.8584542524320473,0.9219562746919358,0.869691843188414,0.8758590453060653,0.8987400037593898,0.9091548045240235,0.9219562748566257,1.0,0.7740572939571172,-0.7895340715577958
Total Noncurrent Liabilities,0.8631651629865298,0.0019610310159206916,0.0019612712277056266,0.8155714340646202,0.6705098734496217,0.06828727985437785,-0.4983035767917903,-0.47698041423325177,0.8568007891026228,0.9010874205373597,-0.8214741644324938,0.8250363899912765,0.8811938940785672,0.001963238631522091,0.7703070370109909,-0.001165516033911995,-0.007708865589414759,0.005324972635248331,0.0021716069790309795,0.8555006352969583,0.8074402339934436,0.001961589322021291,0.8961828412119541,0.8389504221788547,0.8385903262522603,-0.7819429244943883,0.9325404387543852,0.9653703570020152,0.7327932500073376,-0.31785509072363743,0.8381810025836008,0.8383072912827926,0.8395428053522007,-0.857908173702363,0.8561653457189051,0.7680447707217122,0.010158817905128018,0.008376434366786343,-0.005057854669880154,0.005058760989294923,0.00908817286262387,0.8518576810371892,0.8550975552064675,-0.8500453734364661,0.8948514115712732,0.8763716375979301,0.002842163335403715,0.001970775869645107,0.8668895776436504,0.0010332898697791098,0.870422584372929,0.89490802538484,0.9042033214189045,0.6422141949626221,0.8562510134732512,0.9103202811095574,0.8949080253659227,0.7740572939571172,1.0,-0.9014927050798814
Treasury Stock,-0.9567982041100384,-0.0030113268724793474,-0.003011505596904372,-0.8623239525966644,-0.5934653269529391,-0.004257448916277428,0.6375400650492824,0.4897771533649846,-0.9504096404433228,-0.971608502893813,0.9044177261601946,-0.8998966623778596,-0.9534140202567226,-0.002998344253452011,-0.8386063509030479,0.009153531883513581,0.0013420003705593938,0.0018747032047706045,-0.0029781727894707243,-0.9427262270190079,-0.9018597009611536,-0.0030090601689967238,-0.9835380760110807,-0.9114777343558076,-0.9115598619629659,0.8431240614753843,-0.8492870333940559,-0.8322341692834883,-0.8024856435487777,0.31560040859786276,-0.9116331729306044,-0.9108375721293134,-0.9119070435200883,0.949220041669606,-0.9292947309767166,-0.7953870354987914,-0.003368105889330369,-0.0005811190776623942,0.0008767812086882134,0.0015434833785697654,-0.0018165722585700157,-0.9236698672099499,-0.9301722656801521,0.942827927894481,-0.9891401916336595,-0.9631313908300628,-0.0002768283482074573,-0.0030222043514433095,-0.9573829574546184,-0.01170225364596404,-0.9444627134891518,-0.9527992628991264,-0.9732587515943358,-0.7552344595224054,-0.9425513316531569,-0.9158355544377259,-0.9527992635672604,-0.7895340715577958,-0.9014927050798814,1.0
